id,player_id,club_id,start_date,contract_type
1,1,1,2023-08-26,PERMANENT
2,2,1,2025-09-04,PERMANENT
3,3,1,2025-02-17,PERMANENT
4,4,1,2025-02-18,PERMANENT
5,5,1,2024-02-07,PERMANENT
6,6,1,2025-09-05,PERMANENT
7,7,1,2024-02-06,PERMANENT
8,8,1,2024-08-22,PERMANENT
9,9,1,2023-08-25,PERMANENT
10,10,1,2022-12-21,PERMANENT
11,11,1,2025-09-06,PERMANENT
12,12,1,2025-09-06,PERMANENT
13,13,1,2025-09-04,PERMANENT
14,14,1,2023-07-28,PERMANENT
15,15,1,2024-02-20,PERMANENT
16,16,1,2021-07-03,PERMANENT
17,17,1,2023-08-24,PERMANENT
18,18,1,2023-08-25,PERMANENT
19,19,1,2021-07-01,PERMANENT
20,20,1,2025-09-05,PERMANENT
21,21,1,2025-09-05,PERMANENT
22,22,1,2021-09-22,PERMANENT
23,23,1,2024-01-27,PERMANENT
24,24,1,2024-08-22,PERMANENT
25,25,1,2025-09-06,PERMANENT
26,26,1,2023-08-26,PERMANENT




